Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MNW16018,245,subadult,M,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,4,0.10853,14.02619,297.78044,0.7611312
MNW16018,245,subadult,M,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,5,0.10944,16.06904,239.48346,0.879297869
MEC16022,243,subadult,F,T8,T,RC,30.63D,56.7,57.38,57.04,1,0.07978,9.90075,199.4478,0.394940918
MEC16022,243,subadult,F,T8,T,RC,30.63D,56.7,57.38,57.04,2,0.10849,13.93649,238.30956,0.7559849
MEC16022,243,subadult,F,T8,T,RC,30.63D,56.7,57.38,57.04,3,0.11659,21.61328,279.0817,1.259946158
MEC16022,243,subadult,F,T8,T,RC,30.63D,56.7,57.38,57.04,4,0.11315,19.63495,370.57457,1.110847296
MEC16022,243,subadult,F,T8,T,RC,30.63D,56.7,57.38,57.04,5,0.09559,15.37121,304.58871,0.734666982
MEC16022,243,subadult,F,L1,L,RC,32.19,92.14,71.13,81.635,1,0.10186,15.32236,275.95457,0.780367795
MEC16022,243,subadult,F,L1,L,RC,32.19,92.14,71.13,81.635,2,0.16084,10.8351,149.67851,0.871358742
MEC16022,243,subadult,F,L1,L,RC,32.19,92.14,71.13,81.635,3,0.1121,13.52104,356.40822,0.757854292
MEC16022,243,subadult,F,L1,L,RC,32.19,92.14,71.13,81.635,4,0.08885,16.02763,276.68033,0.712027463
MEC16022,243,subadult,F,L1,L,RC,32.19,92.14,71.13,81.635,5,0.07967,16.3346,474.511,0.650688791
MEC16022,243,subadult,F,Ca2,Ca1,RC,19.14,101.7,101.58,101.64,1,0.09666,18.95596,452.69768,0.916141547
MEC16022,243,subadult,F,Ca2,Ca1,RC,19.14,101.7,101.58,101.64,2,0.10052,12.40433,237.28297,0.623441626
MEC16022,243,subadult,F,Ca2,Ca1,RC,19.14,101.7,101.58,101.64,3,0.12115,19.79131,312.98536,1.198858603
MEC16022,243,subadult,F,Ca2,Ca1,RC,19.14,101.7,101.58,101.64,4,0.14197,16.65547,296.57207,1.182288538
MEC16022,243,subadult,F,Ca2,Ca1,RC,19.14,101.7,101.58,101.64,5,0.12115,21.06122,378.58214,1.275783402
MEC16022,243,subadult,F,Ca6,Ca2,RC,13.12,74.82,89.48,82.15,1,0.1194,17.65296,307.09161,1.053881712
MEC16022,243,subadult,F,Ca6,Ca2,RC,13.12,74.82,89.48,82.15,2,0.09769,14.2015,280.41047,0.693672268
MEC16022,243,subadult,F,Ca6,Ca2,RC,13.12,74.82,89.48,82.15,3,0.10942,12.65475,242.11945,0.692341373
MEC16022,243,subadult,F,Ca6,Ca2,RC,13.12,74.82,89.48,82.15,4,0.10649,19.59191,369.70568,1.043171248
MEC16022,243,subadult,F,Ca6,Ca2,RC,13.12,74.82,89.48,82.15,5,0.1179,22.19906,357.18461,1.308634587
LPZ103313,256,subadult,M,T8,T,RC,61.54,25.97,26.09,26.03,1,0.12594,11.04976,166.8217,0.695803387
LPZ103313,256,subadult,M,T8,T,RC,61.54,25.97,26.09,26.03,2,0.07066,8.55207,186.83955,0.302144633
LPZ103313,256,subadult,M,T8,T,RC,61.54,25.97,26.09,26.03,3,0.10468,6.599,99.16769,0.34539166
LPZ103313,256,subadult,M,T8,T,RC,61.54,25.97,26.09,26.03,4,0.1171,11.72163,176.43302,0.686301437
LPZ103313,256,subadult,M,L1,L,RC,48.5,61.75,74.25,68,1,0.08809,14.65428,325.77993,0.645447763
LPZ103313,256,subadult,M,L1,L,RC,48.5,61.75,74.25,68,2,0.06542,7.76365,189.90321,0.253948992
LPZ103313,256,subadult,M,L1,L,RC,48.5,61.75,74.25,68,3,0.08506,12.66546,246.61915,0.538662014
LPZ103313,256,subadult,M,L1,L,RC,48.5,61.75,74.25,68,4,0.08635,10.35698,218.43403,0.447162612
LPZ103313,256,subadult,M,L1,L,RC,48.5,61.75,74.25,68,5,0.11025,7.63465,108.81348,0.420860081
LPZ103313,256,subadult,M,Ca2,Ca1,RC,36.56,127.5,105.5,116.5,1,0.09762,24.29584,514.45756,1.18587995
LPZ103313,256,subadult,M,Ca2,Ca1,RC,36.56,127.5,105.5,116.5,2,0.11686,16.50111,241.78034,0.964159857
LPZ103313,256,subadult,M,Ca2,Ca1,RC,36.56,127.5,105.5,116.5,3,0.10103,20.74578,395.15699,1.047973077
LPZ103313,256,subadult,M,Ca2,Ca1,RC,36.56,127.5,105.5,116.5,4,0.08081,18.502,368.51888,0.74757331
LPZ103313,256,subadult,M,Ca2,Ca1,RC,36.56,127.5,105.5,116.5,5,0.12902,16.61728,215.05937,1.071980733
LPZ103313,256,subadult,M,Ca6,Ca2,RC,21.88,93.99,90.69,92.34,1,0.1097,20.62808,389.30233,1.131450188
LPZ103313,256,subadult,M,Ca6,Ca2,RC,21.88,93.99,90.69,92.34,2,0.11032,14.27453,206.40696,0.787383075
LPZ103313,256,subadult,M,Ca6,Ca2,RC,21.88,93.99,90.69,92.34,3,0.10433,19.65213,312.73892,1.025153361
LPZ103313,256,subadult,M,Ca6,Ca2,RC,21.88,93.99,90.69,92.34,4,0.12192,20.64845,318.94046,1.258729512
LPZ103313,256,subadult,M,Ca6,Ca2,RC,21.88,93.99,90.69,92.34,5,0.10435,20.60402,346.07656,1.075014744
MNW16021,241,subadult,M,T8,T,RC,67.73,42.83,45.44,44.135,1,0.0595,22.67159,653.59512,0.674479803
MNW16021,241,subadult,M,T8,T,RC,67.73,42.83,45.44,44.135,2,0.05621,19.04732,606.80336,0.535324929
MNW16021,241,subadult,M,T8,T,RC,67.73,42.83,45.44,44.135,3,0.073,16.56292,426.72525,0.60454658
MNW16021,241,subadult,M,T8,T,RC,67.73,42.83,45.44,44.135,4,0.0545,13.87522,430.5115,0.378099745
MNW16021,241,subadult,M,T8,T,RC,67.73,42.83,45.44,44.135,5,0.06032,13.67739,406.95328,0.412510082
MNW16021,241,subadult,M,L1,L,RC,43.05,81.8,85.09,83.445,1,0.08676,27.65146,540.50896,1.199520335
MNW16021,241,subadult,M,L1,L,RC,43.05,81.8,85.09,83.445,2,0.06977,18.07774,589.68485,0.63064196
MNW16021,241,subadult,M,L1,L,RC,43.05,81.8,85.09,83.445,3,0.05968,11.61406,352.41299,0.34656355
MNW16021,241,subadult,M,L1,L,RC,43.05,81.8,85.09,83.445,4,0.06045,18.89065,551.89662,0.570969896
MNW16021,241,subadult,M,L1,L,RC,43.05,81.8,85.09,83.445,5,0.05315,14.10088,451.50896,0.374730886
MNW16021,241,subadult,M,Ca2,Ca1,RC,39.42,102.78,105.76,104.27,1,0.09224,27.70492,522.82632,1.27775091
MNW16021,241,subadult,M,Ca2,Ca1,RC,39.42,102.78,105.76,104.27,2,0.08298,25.33757,565.13881,1.051255779
MNW16021,241,subadult,M,Ca2,Ca1,RC,39.42,102.78,105.76,104.27,3,0.09741,41.67879,884.84253,2.029965467
